val_ids,dumbpredwtags,val_gt_size,dumbprednotags,dumbpredselect,dumbpredselect2,dumbprednotags2,proposal_size
Case00_0.nii,"[140225, 8000]","[147398.0, 827.0]","[140225, 8000]","[0, 0]","[0, 0]","[140225, 8000]","[141379,6077]"
Case00_1.nii,"[140225, 8000]","[147080.0, 1145.0]","[140225, 8000]","[148225, 0]","[148225, 0]","[140225, 8000]","[146131,1325]"
Case00_10.nii,"[140225, 8000]","[143808.0, 4417.0]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[147328,128]"
Case00_11.nii,"[140225, 8000]","[144898.0, 3327.0]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[141814,5642]"
Case00_12.nii,"[140225, 8000]","[146525.0, 1700.0]","[140225, 8000]","[0, 0]","[0, 0]","[140225, 8000]","[142464,4992]"
Case00_13.nii,"[140225, 8000]","[147374.0, 851.0]","[140225, 8000]","[0, 0]","[0, 0]","[140225, 8000]","[143299,4157]"
Case00_14.nii,"[148225, 0]","[148225.0, 0.0]","[140225, 8000]","[0, 0]","[0, 0]","[140225, 8000]","[147279,177]"
Case00_2.nii,"[140225, 8000]","[145619.0, 2606.0]","[140225, 8000]","[148225, 0]","[148225, 0]","[140225, 8000]","[142254,5202]"
Case00_3.nii,"[140225, 8000]","[144725.0, 3500.0]","[140225, 8000]","[0, 0]","[0, 0]","[140225, 8000]","[142875,4581]"
Case00_4.nii,"[140225, 8000]","[144219.0, 4006.0]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[141511,5945]"
Case00_5.nii,"[140225, 8000]","[143765.0, 4460.0]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[141349,6107]"
Case00_6.nii,"[140225, 8000]","[143302.0, 4923.0]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[147009,447]"
Case00_7.nii,"[140225, 8000]","[142995.0, 5230.0]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[139073,8383]"
Case00_8.nii,"[140225, 8000]","[143221.0, 5004.0]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[142737,4719]"
Case00_9.nii,"[140225, 8000]","[143655.0, 4570.0]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[140225, 8000]","[141904,5552]"
Case01_0.nii,"[148225, 0]","[148225.0, 0.0]","[140225, 8000]","[0, 0]","[0, 0]","[140225, 8000]","[147456,0]"
Case01_1.nii,"[148225, 0]","[148225.0, 0.0]","[140225, 8000]","[0, 0]","[0, 0]","[140225, 8000]","[146248,1208]"
